event,event_latitude,event_longitude,event_document,event_importance,event_date,event_source_name
KILL,40.55,-84.6333,['http://www.wcsmradio.com/index.php/news/57868/117/Governor-DeWine-Mercer-County-is-now-2-Auglaize-County-is-10-plus-Auglaize-and-Mercer-County-Health-Department-COVID-19-reports-for-October-8th'],['25'],[20201009021500],['wcsmradio.com']
KILL,40.5773,-77.264,"['https://www.wiltonbulletin.com/news/article/Pennsylvania-reports-most-daily-virus-infections-15632099.php', 'https://lancasteronline.com/news/local/these-4-counties-have-half-of-the-covid-19-patients-hospitalized-in-pennsylvania/article_9d69100a-09a2-11eb-9cd5-f71661782782.html']","['27', '8']","[20201009054500, 20201009004500]","['wiltonbulletin.com', 'lancasteronline.com']"
KILL,40.5865,-122.392,['https://www.dailyrepublic.com/all-dr-news/wires/this-remote-county-has-the-highest-covid-case-rate-in-calif-heres-why-sfgate-san-francisco/'],['19'],[20201009021500],['dailyrepublic.com']
KILL,40.7635,-86.3622,['https://www.pharostribune.com/news/local_news/article_456716d0-0999-11eb-a4f2-6b073eb405b8.html'],['3'],[20201009050000],['pharostribune.com']
KILL,40.7833,-96.6836,['https://www.klin.com/2020/10/08/102-confirmed-covid-19-cases-reported-thursday/'],['30'],[20201009014500],['klin.com']
KILL,40.809,-73.9613,['https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)32067-5/fulltext'],['44'],[20201009004500],['thelancet.com']
KILL,40.8275,-73.9433,['https://hiphopwired.com/914213/ewing-athletics-celebrates-25th-anniversary-of-azs-doe-or-die-with-limited-edition-collab/'],['2'],[20201009014500],['hiphopwired.com']
KILL,40.8306,-84.9291,['https://www.claimsjournal.com/news/midwest/2020/10/09/299839.htm'],['3'],[20201009054500],['claimsjournal.com']
KILL,40.8667,-88.5167,['https://www.mywebtimes.com/2020/10/08/livingston-county-coronavirus-update-man-in-50s-is-countys-ninth-coronavirus-related-death/an07lgv/'],['50'],[20201009000000],['mywebtimes.com']
KILL,41.0,75.0,['https://akipress.com/news:649349:_b_Kyrgyzstan_reports_275_new_cases_of_coronavirus_on_October_9_/b_/'],['4'],[20201009054500],['akipress.com']
KILL,41.3754,-76.2499,['https://www.citizensvoice.com/news/coronavirus/25-new-covid-19-cases-reported-in-luzerne-county-on-thursday/article_fca9e9af-c3ca-5fa8-89b7-8dc52b31ccc0.html'],['190'],[20201009053000],['citizensvoice.com']
KILL,41.3833,2.18333,['https://www.financialbuzz.com/p-i-works-celebrates-15-years-of-revolutionizing-the-global-telecoms-industry/'],['2000000000'],[20201009053000],['financialbuzz.com']
KILL,41.5834,-72.7622,['https://dailyvoice.com/new-jersey/bergenfield/police-fire/survey-1-in-10-connecticut-residents-personally-affected-by-mass-shootings/795652/'],['2'],[20201009001500],['dailyvoice.com']
KILL,41.6612,-72.7795,['https://www.ctpost.com/local/article/Dalkowski-documentary-30-years-in-making-debuts-15632439.php'],['20'],[20201009004500],['ctpost.com']
KILL,41.6772,-71.5101,['https://www.dailyrepublic.com/all-dr-news/wires/california-wants-to-talk-reparations-lets-start-with-land-ownership-san-francisco-chronicle/'],['2'],[20201009021500],['dailyrepublic.com']
